startphrase,ending1,ending2,labels
صدای او همچون صدای ویالونی ناکوک است.,صدای او بسیار دلنشین و زیباست.,صدای او بسیار آزاردهنده و ناملایم است.,1
او مثل آتش زیر خاکستر است.,او به ظاهر آرام است ولی درونش پر از شور است.,او کاملاً آرام و بی‌شور است.,0
او مثل یک دریاچه‌ای ساکن است.,او به ظاهر آرام است ولی درونش پر از شور است.,او کاملاً آرام و بی‌شور است.,1
اتاقش مثل یک باغ پر از علف‌های هرز است.,اتاق او نامرتب و زشت است.,اتاق او بسیار مرتب، تمیز و زیباست.,0
اتاقش مثل باغی با درختان یکسان و یک‌اندازه است.,اتاق او نامرتب و زشت است.,اتاق او بسیار مرتب، تمیز و زیباست.,1
رابطه‌شان مثل پلی بر فراز دره است.,رابطه‌شان شکننده و ناامن است.,رابطه‌شان قوی و محکم است.,0
رابطه‌‌شان مثل یک دیوار بتنی است.,رابطه‌شان شکننده و ناامن است.,رابطه‌شان قوی و محکم است.,1
او مثل یک کتاب است.,او همیشه چیزی جدید و جالب برای گفتن دارد.,او هیچ چیز جدید و جالبی برای گفتن ندارد.,0
او مثل یک سریال کوتاه کم‌طرفدار است.,او همیشه چیزی جدید و جالب برای گفتن دارد.,او هیچ چیز جدید و جالبی برای گفتن ندارد.,1
زندگی مثل شطرنج است.,زندگی پیچیده است.,زندگی ساده است.,0
زندگی مثل یک پازل ۱۰ تیکه است.,زندگی پیچیده است.,زندگی ساده است.,1
لبخندش مثل خورشید گرم است.,لبخندش گرم و دلنشین است.,لبخندش سرد و بی‌روح است.,0
لبخندش مثل کوه یخ گرم است.,لبخندش گرم و دلنشین است.,لبخندش سرد و بی‌روح است.,1
کیک کشمشی مادربزرگ مزه‌ی بهشت می‌دهد.,کیک کشمشی مادربزرگ فوق‌العاده خوشمزه است.,کیک کشمشی مادربزرگ بسیار بدمزه و تلخ است.,0
کیک کشمشی مادربزرگ مثل زهر مار است.,کیک کشمشی مادربزرگ فوق‌العاده خوشمزه است.,کیک کشمشی مادربزرگ بسیار بدمزه و تلخ است.,1
مغزش مثل ساعت کار می‌کند.,مغزش منظم و دقیق کار می‌کند.,مغزش به‌خوبی و درستی کار نمی‌کند.,0
مغرش مثل یک بنز مدل 2000  کار می‌کند.,مغزش منظم و دقیق کار می‌کند.,مغزش به‌خوبی و درستی کار نمی‌کند.,1
خنده‌اش مثل یک شب سرد زمستانی است.,خنده‌هایش خشک و بی‌روح است.,خنده‌هایش نشاط‌آور و دلنشین است.,0
خنده‌اش مثل آوای پرندگان در سپیده‌دم است.,خنده‌هایش خشک و بی‌روح است.,خنده‌هایش نشاط‌آور و دلنشین است.,1
او به اندازه‌ی چنگیزخان مغول دلرحم و رئوف است.,او بسیار خشن و بی‌رحم است.,او بسیار مهربان و صلح‌جو است.,0
او به اندازه‌ی گاندی دلرحم و رئوف است.,او بسیار خشن و بی‌رحم است.,او بسیار مهربان و صلح‌جو است.,1
زبانش همچون شمشیر ذوالفقار تیز است و زخم‌ زبان می‌زند.,زبانی تند دارد و دیگران را از خود می‌رنجاند.,زبانی چرب دارد و دیگران را می‌ستاید.,0
زبانش همچون عسل شیرین است.,زبانی تند دارد و دیگران را از خود می‌رنجاند.,زبانی چرب دارد و دیگران را می‌ستاید.,1
او به اندازه‌ی صدام حسین خوشنام است.,مردم از او به بدی یاد می‌کنند.,مردم از او به نیکی یاد می‌کنند.,0
او به اندازه‌ی کوروش کبیر خوشنام است.,مردم از او به بدی یاد می‌کنند.,مردم از او به نیکی یاد می‌کنند.,1
قلبش مانند گنجینه‌ای پنهان در اعماق زمین است.,قلب او مملو از اسرار و حکمت‌های نهفته است.,قلب او عاری از هر گونه اسراری است.,0
قلبش مثل قلب یک نوزاد است.,قلب او مملو از اسرار و حکمت‌های نهفته است.,قلب او عاری از هر گونه اسراری است.,1
آن دو دوست مثل سیبی هستند که از وسط نصف شده باشد.,آن دو دوست بسیار به هم شبیه هستند.,آن دو دوست بسیار با هم متفاوت هستند.,0
آن دو دوست مثل فیل و فنجان هستند.,آن دو دوست بسیار به هم شبیه هستند.,آن دو دوست بسیار با هم متفاوت هستند.,1
انجام آن پروژه برایم مثل آب خوردن است.,انجام آن پروژه بسیار آسان است.,انجام آن پروژه بسیار سخت است.,0
انجام آن پروژه برایم مثل شرکت در کنکور است.,انجام آن پروژه بسیار آسان است.,انجام آن پروژه بسیار سخت است.,1
او با من کاری کرد که مثل اسفند روی آتش می‌سوختم.,او من را بسیار ناراحت،‌ مضطرب و پریشان‌حال کرد.,او من را بسیار خوشحال و پر شوق و اشتیاق کرد.,0
او با من کاری کرد که مثل بچه‌ای که به شهربازی می‌رود، شدم.,او من را بسیار ناراحت،‌ مضطرب و پریشان‌حال کرد.,او من را بسیار خوشحال و پر شوق و اشتیاق کرد.,1
احساساتش مانند رنگ‌های درهم‌ریخته در اثر هنری است.,احساساتش پر از تنوع و پیچیدگی است.,احساساتش ثابت و یکنواخت است.,0
احساساتش مانند یک دریاچه‌ی کوچک است.,احساساتش پر از تنوع و پیچیدگی است.,احساساتش ثابت و یکنواخت است.,1
داستان زندگی‌اش مثل یک تابلو نقاشی با رنگ‌های زنده است.,داستان زندگی‌اش پر از شور و نشاط است.,داستان زندگی‌اش کسل‌کننده و بی‌روح است.,0
داستان زندگی‌اش مثل یک فیلم بی‌کیفیت سیاه و سفید است.,داستان زندگی‌اش پر از شور و نشاط است.,داستان زندگی‌اش کسل‌کننده و بی‌روح است.,1
چهره‌اش مثل ماه شب چهارده است.,چهره‌اش بسیار زیبا و جذاب است.,چهره‌اش زیبا و جذاب نیست.,0
چهره‌‌اش مثل یک فک دریایی است.,چهره‌اش بسیار زیبا و جذاب است.,چهره‌اش زیبا و جذاب نیست.,1
آن کودک مثل پر کاه است.,آن کودک بسیار سبک است.,آن کودک بسیار سنگین است.,0
آن کودک مثل یک بچه فیل است.,آن کودک بسیار سبک است.,آن کودک بسیار سنگین است.,1
دستانش مثل آهنی گداخته است.,دستانش گرم و پر از انرژی است.,دستانش سرد و بی‌روح است.,0
دستانش مثل یک گوله برف است.,دستانش گرم و پر از انرژی است.,دستانش سرد و بی‌روح است.,1
موهایش مثل تارهای نازک ابریشم است.,موهایش نرم و لطیف است.,موهایش خشن، سفت و تیز است.,0
موهایش مثل جوجه تیغی است.,موهایش نرم و لطیف است.,موهایش خشن، سفت و تیز است.,1
پول مثل چرک کف دست است.,پول بسیار بی‌ارزش است و راحت خرج می‌شود.,پول بسیار ارزشمند است و باید حساب‌شده آن را خرج کرد.,0
پول مثل الماسی کمیاب است.,پول بسیار بی‌ارزش است و راحت خرج می‌شود.,پول بسیار ارزشمند است و باید حساب‌شده آن را خرج کرد.,1
زندگی‌اش مثل یک دریای مواج، آرام است.,زندگی‌اش پر از ناآرامی است.,زندگی‌اش بسیار آرام است.,0
زندگی‌اش مثل جنگلی در شب، آرام است.,زندگی‌اش پر از ناآرامی است.,زندگی‌اش بسیار آرام است.,1
دوست خوب مثل طلا با ارزش است.,دوست خوب ارزشمند و گران‌بهاست.,دوست خوب بی‌ارزش است.,0
دوست بد مثل خاک با ارزش است.,دوست بد ارزشمند و گران‌بهاست.,دوست بد بی‌ارزش است.,1
آن بازیگر تئاتر مثل طاووس است.,آن بازیگر بسیار زیبا و چشم‌نواز است.,آن بازیگر بسیار زشت است.,0
آن بازیگر تئاتر مثل موش کور است.,آن بازیگر بسیار زیبا و چشم‌نواز است.,آن بازیگر بسیار زشت است.,1
آن ماشین مثل یک لاک‌پشت حرکت می‌کند.,ماشین بسیار کند است.,ماشین بسیار سریع است.,0
آن ماشین مثل یک خرگوش حرکت می‌کند.,ماشین بسیار کند است.,ماشین بسیار سریع است.,1
پاهایش مثل یک کرگدن است.,پاهایش بسیار بزرگ است.,پاهایش بسیار کوچک است.,0
پاهایش مثل یک بچه گربه است.,پاهایش بسیار بزرگ است.,پاهایش بسیار کوچک است.,1
او به اندازه‌ی یک یوزپلنگ سریع حرکت می‌کند.,او بسیار سریع حرکت می‌کند.,او بسیار آهسته حرکت می‌کند.,0
او به اندازه‌ی یک کرم خاکی سریع حرکت می‌کند.,او بسیار سریع حرکت می‌کند.,او بسیار آهسته حرکت می‌کند.,1
هم‌اتاقی‌ام در طول شب،‌ مثل خرس می‌خوابد.,او بسیار عمیق و طولانی می‌خوابد.,او اصلا نمی‌خوابد و بیدار است.,0
هم‌اتاقی‌ام در طول شب،‌ مثل خفاش می‌خوابد.,او بسیار عمیق و طولانی می‌خوابد.,او اصلا نمی‌خوابد و بیدار است.,1
زندگی مثل دروس دبستان برای یک دانش‌آموز دبیرستانی آسان است.,زندگی آسان است.,زندگی سخت و غیرقابل تحمل است.,0
زندگی مثل دروس دبستان برای یک نوزاد، آسان است.,زندگی آسان است.,زندگی سخت و غیرقابل تحمل است.,1
این پرده به رنگ برگی در بهار است.,این پرده سبز است.,این پرده زرد و نارنجی است.,0
این پرده به رنگ برگ‌های پاییزی است.,این پرده سبز است.,این پرده زرد و نارنجی است.,1
حرف‌هایش مثل ریختن آب روی آتش بود.,حرف‌هایش بسیار آرام‌کننده بود.,حرف‌هایش باعث ناآرامی و عصبانیت شد.,0
حرف‌هایش مثل ریختن الکل روی آتش بود.,حرف‌هایش بسیار آرام‌کننده بود.,حرف‌هایش باعث ناآرامی و عصبانیت شد.,1
چشمانش مثل چشمان یک آهو است.,چشمانش بسیار زیبا است.,چشمانش بسیار زشت است.,0
چشمانش مثل چشمان یک کفتار است.,چشمانش بسیار زیبا است.,چشمانش بسیار زشت است.,1
صدای موسیقی مثل یک زمزمه‌ بود.,صدای موسیقی بسیار آرام بود.,صدای موسیقی بسیار بلند بود.,0
صدای موسیقی مثل یک آژیر بود.,صدای موسیقی بسیار آرام بود.,صدای موسیقی بسیار بلند بود.,1
او مثل یک فرشته آواز می‌خواند.,صدای او بسیار زیبا و دلنشین است.,صدای او بسیار گوش‌خراش است.,0
صدایش مثل صدای خروس است.,صدای او بسیار زیبا و دلنشین است.,صدای او بسیار گوش‌خراش است.,1
دست‌های او مثل پنبه نرم است.,دست‌های او بسیار نرم است.,دست‌های او بسیار سفت و زخمت است.,0
دست‌های او مثل آجر نرم است.,دست‌های او بسیار نرم است.,دست‌های او بسیار سفت و زخمت است.,1
آن خانه مثل یک کتابخانه آرام بود.,آن خانه بسیار آرام است.,آن خانه بسیار شلوغ و پرهیاهو است.,0
آن خانه مثل یک شهربازی آرام بود.,آن خانه بسیار آرام است.,آن خانه بسیار شلوغ و پرهیاهو است.,1
آن مرد مثل یک شاهزاده زیباست.,آن مرد مثل بسیار زیبا و خوشتیپ است.,آن مرد مثل بسیار زشت است.,0
آن مرد مثل یک خلافکار معتاد زیباست.,آن مرد مثل بسیار زیبا و خوشتیپ است.,آن مرد مثل بسیار زشت است.,1
او مثل قالی کرمان است.,هر چه سنش بالاتر می‌رود،‌ زیباتر و خوش رنگ و لعاب‌تر می‌شود.,هر چه سنش بالاتر می‌رود،‌ پیرتر و شکسته‌تر می‌شود.,0
او مثل یک قالی مندرس است.,هر چه سنش بالاتر می‌رود،‌ زیباتر و خوش رنگ و لعاب‌تر می‌شود.,هر چه سنش بالاتر می‌رود،‌ پیرتر و شکسته‌تر می‌شود.,1
ماشینش مثل یک موش یک چشم است.,ماشینش بسیار زشت است.,ماشینش بسیار زیباست.,0
ماشینش مثل یک قو است.,ماشینش بسیار زشت است.,ماشینش بسیار زیباست.,1
غذایی که درست کرده بودی، مزه‌اش مثل پیتزا بود.,غذا لذیذ و خوشمزه بود.,غذا سفت و بدمزه بود.,0
غذایی که درست کرده بودی، مثل لاستیک بود.,غذا لذیذ و خوشمزه بود.,غذا سفت و بدمزه بود.,1
آن مرد مثل یک پزشک در جامعه مورد احترام است.,آن مرد بسیار مورد احترام است.,به آن مرد احترامی گذاشته نمی‌شود.,0
آن مرد مثل یک قاتل در جامعه مورد احترام است.,آن مرد بسیار مورد احترام است.,به آن مرد احترامی گذاشته نمی‌شود.,1
اشعارش مثل اشعار حافظ است.,اشعارش زیبا، دلنشین و گهربار است.,اشعارش ساده و معمولی است.,0
اشعارش مثل اولین شعر شاعری جوان است.,اشعارش زیبا، دلنشین و گهربار است.,اشعارش ساده و معمولی است.,1
آن اتاق مثل یک خانه‌ی متروکه تمیز است.,آن اتاق خیلی تمیز نیست.,آن اتاق بسیار تمیز است.,0
آن اتاق مثل یک هتل پنج‌ ستاره تمیز است.,آن اتاق خیلی تمیز نیست.,آن اتاق بسیار تمیز است.,1
او مثل یک بازیگر سینما مشهور است.,خیلی از مردم او را می‌شناسند.,بسیاری از مردم او را نمی‌شناسند.,0
او مثل یک بازیگر تئاتر محلی معروف است.,خیلی از مردم او را می‌شناسند.,بسیاری از مردم او را نمی‌شناسند.,1
او به اندازه‌ی یک پنکه در وسط زمستان مفید است.,او بسیار بی‌فایده است.,او بسیار با فایده است.,0
او به اندازه‌ی یک پنکه در وسط تابستان مفید است.,او بسیار بی‌فایده است.,او بسیار با فایده است.,1
خلبان هواپیما را طوری فرود آورد که انگار یک نوزاد تازه متولد شده را حمل می‌کند.,فرود آرام و نرم و ملایم بوده است.,فرود سریع، سخت و خشن بوده است.,0
خلبان هواپیما را طوری فرود آورد که انگار دارد در مسابقات فرمول ۱ مسابقه می‌دهد.,فرود آرام و نرم و ملایم بوده است.,فرود سریع، سخت و خشن بوده است.,1
نقاشی‌های این جوان مثل کمال‌الملک است.,نقاشی‌های او بسیار زیبا و جذاب است.,نقاشی‌های او بسیار ساده و معمولی است.,0
نقاشی‌‌های این جوان مثل کودکی در مهدکودک است.,نقاشی‌های او بسیار زیبا و جذاب است.,نقاشی‌های او بسیار ساده و معمولی است.,1
زندگی مثل جاده‌ای بی‌انتها است.,زندگی پر از فرصت‌ها و ماجراجویی‌ها است.,زندگی کوتاه و خسته‌کننده است.,0
زندگی مثل کوچه‌ای بن‌بست است.,زندگی پر از فرصت‌ها و ماجراجویی‌ها است.,زندگی کوتاه و خسته‌کننده است.,1
صحبت‌های آغازین وکیل مثل یک رمان روسی بود.,صحبت‌های وکیل طولانی بود.,صحبت‌های وکیل کوتاه بود.,0
صحبت‌های آغازین مثل یک آگهی بازرگانی بود.,صحبت‌های وکیل طولانی بود.,صحبت‌های وکیل کوتاه بود.,1
آن فیلم مثل خوردن یک فالوده شیرازی دلچسب بود.,آن فیلم بسیار دوست‌داشتنی بود.,آن فیلم خیلی دوست‌داشتنی نبود.,0
آن فیلم مثل انجام دادن تکالیف مدرسه در ایام عید دلچسب بود.,آن فیلم بسیار دوست‌داشتنی بود.,آن فیلم خیلی دوست‌داشتنی نبود.,1
آن دو مثل شیرین و فرهاد هستند.,آن دو به یکدیگر علاقه‌مند هستند.,آن دو با یکدیگر دشمن هستند.,0
آن دو مثل کارد و پنیر هستند.,آن دو به یکدیگر علاقه‌مند هستند.,آن دو با یکدیگر دشمن هستند.,1
آن خانواده به اندازه‌ی حکومت قاجار محبوب هستند.,آن خانواده بسیار بدنام هستند.,آن خانواده بسیار خوشنام هستند.,0
آن خانواده به اندازه‌ی شجریان محبوب هستند.,آن خانواده بسیار بدنام هستند.,آن خانواده بسیار خوشنام هستند.,1
در آن جلسه، زمان مثل یک حلزون حرکت می‌کرد.,زبان به آرامی حرکت می‌کرده است.,زبان به سرعت حرکت می‌کرده است.,0
در آن جلسه، زمان مثل یک ماشین مسابقه حرکت می‌کرد.,زبان به آرامی حرکت می‌کرده است.,زبان به سرعت حرکت می‌کرده است.,1
هنگامی که دعوا شده بود، او را دیدم که مثل بید می‌لرزید.,او بسیار ترسیده بود.,او به هیچ عنوان نترسیده بود.,0
هنگامی که دعوا شده بود، او را دیدم که مثل کوه استوار بود.,او بسیار ترسیده بود.,او به هیچ عنوان نترسیده بود.,1
وجودش مثل یک شمع نیم‌سوخته است.,او در آستانه‌ی از دست دادن امید و عشق است.,او پر از عشق و گرمی است.,0
وجودش مثل آتشی سوزان است.,او در آستانه‌ی از دست دادن امید و عشق است.,او پر از عشق و گرمی است.,1
آن کودک به اندازه یک کارآفرین استعداد داشت.,آن کودک بسیار با استعداد است.,آن کودک بی‌استعداد است.,0
آن کودک به اندازه یک دانش‌آموز مردودشده استعداد داشت.,آن کودک بسیار با استعداد است.,آن کودک بی‌استعداد است.,1
داستانش به اندازه‌ی یک کابوس ناراحت کننده بود.,داستانش بسیار ناراحت کننده بود.,داستانش خیلی ناراحت کننده نبود.,0
داستانش به اندازه‌ی یک رویای شیرین ناراحت کننده بود.,داستانش بسیار ناراحت کننده بود.,داستانش خیلی ناراحت کننده نبود.,1
او به اندازه‌ی یک موش بود.,او بسیار کوتاه بود.,او بسیار بلند بود.,0
او به اندازه‌ی یک زرافه بود.,او بسیار کوتاه بود.,او بسیار بلند بود.,1
او در شرکت مثل زنبور بی‌عسل بود.,او بسیار بی‌‌فایده و غیرمفید بود.,او بسیار موثر و مفید بود.,0
او در شرکت مثل آچار فرانسه بود.,او بسیار بی‌‌فایده و غیرمفید بود.,او بسیار موثر و مفید بود.,1
او مثل آهنرباست.,او بسیار جذاب و گیرا است.,او بدون هیچ جذابیتی و خسته‌کننده است.,0
او مثل تفلون است.,او بسیار جذاب و گیرا است.,او بدون هیچ جذابیتی و خسته‌کننده است.,1
صبر آن مرد مثل ایوب است.,او بسیار صبور است.,او بسیار کم‌طاقت است.,0
صبر آن مرد مثل یک کودک ۴ ساله است.,او بسیار صبور است.,او بسیار کم‌طاقت است.,1
مشکل به‌اندازه‌ی قطب جنوب بزرگ بود.,مشکل بسیار بزرگ بود.,مشکل بسیار کوچک بود.,0
مشکل به‌اندازه‌ی پای یک کفشدوزک بزرگ بود.,مشکل بسیار بزرگ بود.,مشکل بسیار کوچک بود.,1
آن کتاب مثل یک قطب‌نما است.,کتاب حاوی حکمت‌هایی عمیق و دانشی مفید است.,محتوای کتاب آنقدر بیهوده و بی‌فایده است که حتی نمی‌توان آن‌ را کامل خواند.,0
آن کتاب مثل دست‌نوشته یک کودک است.,کتاب حاوی حکمت‌هایی عمیق و دانشی مفید است.,محتوای کتاب آنقدر بیهوده و بی‌فایده است که حتی نمی‌توان آن‌ را کامل خواند.,1
بیماری به‌سرعت آتش سوزی در جنگل در حال گسترش است,بیماری به‌سرعت در حال گسترش است.,بیماری به‌کندی در حال گسترش است.,0
بیماری به‌سرعت رشد ناخن انگشت در حال گسترش است,بیماری به‌سرعت در حال گسترش است.,بیماری به‌کندی در حال گسترش است.,1
آن خانه مثل خانه‌ی مادربزرگ راحت و دوست‌داشتنی بود.,آن خانه بسیار راحت بود.,بودن در آن خانه بسیار ناراحت‌کننده بود.,0
آن خانه مثل یک سلول زندان راحت و دوست‌داشتنی بود.,آن خانه بسیار راحت بود.,بودن در آن خانه بسیار ناراحت‌کننده بود.,1
او مثل دیوار چین شکننده بود.,او بسیار محکم و استوار بود.,او بسیار شکننده بود.,0
او مثل یک ظرف کریستالی نازک شکننده بود.,او بسیار محکم و استوار بود.,او بسیار شکننده بود.,1
او به اندازه‌ی علی دایی بازیکن خوبی است.,او بسیار بازیکن خوبی است.,او بازیکن خیلی خوبی نیست.,0
او به اندازه‌ی بازیکنان تیم‌های منطقه‌ای بازیکن خوبی است.,او بسیار بازیکن خوبی است.,او بازیکن خیلی خوبی نیست.,1
به صلح جهانی رسیدن مثل راه رفتن انسان بر روی آب است.,این امر غیرممکن است.,این امر ممکن است.,0
به صلح جهانی رسیدن مثل شنا کردن در یک برکه کم‌عمق است.,این امر غیرممکن است.,این امر ممکن است.,1
اقداماتش برای موفقیت همچون انداختن  تیری در تاریکی‌ست.,کارهایش را بدون برنامه‌ انجام می‌دهد و امیدوار است تا به کمک شانس موفق شود.,کارهایش را دقیق و با برنامه‌ریزی قبلی انجام می‌دهد و امیدوار است تا بر اساس شایستگی‌اش موفق شود.,0
اقداماتش برای موفقیت همچون رتبه اول المپیاد است.,کارهایش را بدون برنامه‌ انجام می‌دهد و امیدوار است تا به کمک شانس موفق شود.,کارهایش را دقیق و با برنامه‌ریزی قبلی انجام می‌دهد و امیدوار است تا بر اساس شایستگی‌اش موفق شود.,1
آن جنگجو مثل رستم در میدان نبرد است.,او بسیار قوی و شجاع است.,او بسیار ضعیف، ترسو و کم‌جرأت است.,0
آن جنگجو مثل یک موش در میدان نبرد است.,او بسیار قوی و شجاع است.,او بسیار ضعیف، ترسو و کم‌جرأت است.,1
او مثل شغاد با برادرش رفتار می‌کند.,او با برادرش با حیله و نیرنگ رفتار می‌کند.,او با برادرش بسیار جوانمردانه و دوستانه رفتار می‌کند.,0
او مثل غلامرضا تختی با برادرش رفتار می‌کند.,او با برادرش با حیله و نیرنگ رفتار می‌کند.,او با برادرش بسیار جوانمردانه و دوستانه رفتار می‌کند.,1
موهای او مثل زال است.,موهایش بسیار سفید است.,موهایش بسیار مشکی است.,0
موهای او مثل پر کلاغ است.,موهایش بسیار سفید است.,موهایش بسیار مشکی است.,1
زندگی عاطفی‌اش مثل مسیری پر از دست‌انداز است.,او همیشه با مشکلات زیادی روبروست.,زندگی عاطفی‌اش آرام و بی‌دغدغه است.,0
زندگی عاطفی‌اش مثل یک جاده‌ی هموار است.,او همیشه با مشکلات زیادی روبروست.,زندگی عاطفی‌اش آرام و بی‌دغدغه است.,1
حافظه‌اش مثل آینه‌ای است که گذشته را بازتاب می‌دهد.,او حافظه‌ای قوی دارد و هیچ چیز را فراموش نمی‌کند.,او فردی است که به راحتی گذشته را فراموش می‌کند.,0
حافظه‌اش مثل ماهی است.,او حافظه‌ای قوی دارد و هیچ چیز را فراموش نمی‌کند.,او فردی است که به راحتی گذشته را فراموش می‌کند.,1
من و خویشاوندم مثل دوقلوهای به هم چسبیده، به هم نزدیک هستیم,آن‌ها بسیار نزدیک هستند.,آن‌ها بسیار از هم دور هستند.,0
من و خویشاوندم مثل موش و گربه به هم نزدیک هستیم,آن‌ها بسیار نزدیک هستند.,آن‌ها بسیار از هم دور هستند.,1
آن بازیگر به اندازه‌ی یک فوق‌‌ستاره فوتبال مورد توجه قرار گرفت.,آن بازیگر توجه زیادی را به خود جلب کرد.,آن بازیگر اصلا مورد توجه قرار نگرفت.,0
آن بازیگر به اندازه‌ی یک فوتبالیست لیگ ۳ مورد توجه قرار گرفت.,آن بازیگر توجه زیادی را به خود جلب کرد.,آن بازیگر اصلا مورد توجه قرار نگرفت.,1
آن پیراهن مثل یک کیسه زباله بود.,بسیار نامناسب و زشت بود.,بسیار زیبا و مناسب بود.,0
آن پیراهن مثل لباس یک شاهزاده بود.,بسیار نامناسب و زشت بود.,بسیار زیبا و مناسب بود.,1
دستان آن پیرمرد مثل پنبه است.,دستان او نرم است.,دستان او بسیار سفت و محکم است.,0
دستان آن پیرمرد مثل چوب است.,دستان او نرم است.,دستان او بسیار سفت و محکم است.,1
