Unnamed: 0,ending1,ending2,startphrase,labels
1101,ಹೂಡಿಕೆಯು ಚಂಚಲವಾಗಿದೆ,ಹೂಡಿಕೆಯು ಚಂಚಲವಾಗಿಲ್ಲ,ಹೂಡಿಕೆಯು ಫಿಕ್ಸೆಡ್ ಡೆಪಾಸಿಟ್ ನಂತೆ ಚಂಚಲವಾಗಿದೆ,1
400,ಕೋಲಿನ ಎತ್ತರ ಉದ್ದವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ ತುಂಡವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ ಉದ್ದವಾಗಿ ಇತ್ತು,0
728,ಆಕೆ ಹೆಚ್ಚು ಅಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು,ಆಕೆ ಕಡಿಮೆ ಅಲಂಕಾರ ಮಾಡಿದ್ದಳು,ಆಕೆ ಮಾಡೆಲ್ ನಂತೆ ಆಲಂಕಾರ ಮಾಡಿಕೊಂಡಿದ್ದಳು,0
78,ಆ ಅಪ್ಲಿಕೇಶನ್ ಹೆಚ್ಚು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,ಆ ಅಪ್ಲಿಕೇಶನ್ ಕಡಿಮೆ ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,ಆ ಅಪ್ಲಿಕೇಶನ್  ಜಿಮೇಲ್ ನಷ್ಟು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,0
967,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿತ್ತು,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿಲ್ಲ,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಕುರೂಪವಾಗಿತ್ತು.,1
95,ಅದು ಬಹಳ ಅಪರೂಪ,ಅದು ಬಹಳ  ಅಪರೂಪವೇನಲ್ಲ,ಅದು ನಕ್ಷತ್ರ ಗಳಂತೆ ಬಹಳ ಅಪರೂಪ,1
642,ಅವರ ಕೆಲಸ ನಿಖರತೆ ಹೊಂದಿದೆ,ಅವರ ಕೆಲಸ ನಿಖರತೆ ಹೊಂದಿದೆ,ಅವರ ಕೆಲಸ ಮಷೀನ್ ನಷ್ಟು ನಿಖರತೆ ಹೊಂದಿದೆ,0
1122,ಈ ಕಟ್ಟಡವು ಆಲಂಕಾರಿಕವಾಗಿದೆ,ಈ ಕಟ್ಟಡವು ಆಲಂಕಾರಿಕವಾಗಿಲ್ಲ,ಈ ಕಟ್ಟಡವು ಅರಮನೆಯಂತೆ ಆಲಂಕಾರಿಕವಾಗಿದೆ,0
397,ಹೂಡಿಕೆಯು ಅಪಾಯಕಾರಿ,ಹೂಡಿಕೆಯು ಅಪಾಯಕಾರಿಯಲ್ಲ,ಹೂಡಿಕೆಯು ಫಿಕ್ಸಡ್ ಡೆಪಾಸಿಟ್ ನಲ್ಲಿ ಅಪಾಯಕಾರಿ,1
1058,ಆ ಪ್ರದೇಶ ವೈವಿಧ್ಯಮಯ ಜೀವಸಂಕುಲಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ಪ್ರದೇಶ ವೈವಿಧ್ಯಮಯ ಜೀವಸಂಕುಲಗಳನ್ನು ಹೊಂದಿಲ್ಲ,ಆ ಪ್ರದೇಶ ಕಾಡಿನಂತೆ ವೈವಿಧ್ಯಮಯ ಜೀವಸಂಕುಲಗಳನ್ನು ಹೊಂದಿದೆ,0
912,ಆ ತಿಂಡಿ ಮೃದುವಾಗಿದೆ,ಆ ತಿಂಡಿ ಮೃದುವಾಗಿಲ್ಲ,ಆ ತಿಂಡಿ ಡೊನಟ್ ನಂತೆ ಮೃದುವಾಗಿದೆ,0
756,ಇವನು ಮುದ್ದಾಗಿದ್ದಾನೆ ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,ಇವನು ಅಜ್ಜಿಯಂತೆ ಮುದ್ದಾಗಿದ್ದಾನೆ,0
1024,ಅದು ಕೊಳೆಯುವುದಿಲ್ಲ,ಅದು ಕೊಳೆಯುತ್ತದೆ,ಅದು ಪ್ಲಾಸ್ಟಿಕ್ ನಂತೆ ಕೊಳೆಯುವುದಿಲ್ಲ,0
959,ಕೋಲಿನ ಎತ್ತರ ಉದ್ದವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ ತುಂಡವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ ತುಂಡವಾಗಿ ಇತ್ತು,1
566,ಅವರು ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಾರೆ,ಅವರು ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಿಲ್ಲ,ಅವರು ರಾಜರಂತೆ ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಾರೆ,0
333,ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.,ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿಲ್ಲ,ಅವನು ನರಿಯಂತೆ ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.,1
479,ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿದೆ,ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿಲ್ಲ,ಈ ಅಕ್ಷರಗಳು ಪ್ರಬಂಧದಂತೆ ಮೂಲಭೂತವಾಗಿದೆ,1
694,ಅವಳ ಅಂದ ಅದ್ಭುತ,ಅವಳ ಅಂದ ಅದ್ಭುತವಲ್ಲ,ಅವಳ ಅಂದ ಹುಣ್ಣಿಮೆಯ ಚಂದಿರನಷ್ಟು ಅದ್ಭುತ,0
387,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿದೆ,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿಲ್ಲ,ಅದರ ಬಣ್ಣ ನೀರಿನಂತೆ ಬಿಳಿಯಾಗಿದೆ,1
1005,ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಹೆಚ್ಚು,ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಹೆಚ್ಚಿಲ್ಲ,ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಮೈಸೂರಿನಂತೆ ಇದೆ,1
555,ನನ್ನ ತಂದೆ ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿದ್ದಾರೆ,ನನ್ನ ತಂದೆ ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿಲ್ಲ,ನನ್ನ ತಂದೆ ಕುಸ್ತಿಪಟುವಿನಂತೆ ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿದ್ದಾರೆ,1
1070,ಆ ಕಟ್ಟಡ ಐತಿಹಾಸಿಕವಾಗಿದೆ,ಆ ಕಟ್ಟಡ ಐತಿಹಾಸಿಕವಾಗಿಲ್ಲ,ಆ ಕಟ್ಟಡ ಕೆಂಪು ಕೋಟೆಯಂತೆ ಐತಿಹಾಸಿಕವಾಗಿದೆ,0
573,ಅದರ ಬೇರು ಗಟ್ಟಿಯಾಗಿದೆ,ಅದರ ಬೇರು ಗಟ್ಟಿಯಾಗಿಲ್ಲ,ಅದರ ಬೇರು ಗಿಡದ ಬೇರಿನಷ್ಟು ಗಟ್ಟಿಯಾಗಿದೆ,1
991,ಆ ಹೂವು ಸುವಾಸನೆ ಬೀರುತಿತ್ತು,ಆ ಹೂವು ಸುವಾಸನೆ ಬೀರಲ್ಲ,ಆ ಹೂವು ತುಂಬೆಯಂತೆ ಸುವಾಸನೆ ಬೀರುತಿತ್ತು,1
1159,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿ,ಸೀರೆ ಉಡುವುದು ಭಾರತದ ಸಂಸ್ಕೃತಿಯಲ್ಲ,ಸೀರೆ ಉಡುವುದು ಪಾಶ್ಚಿಮಾತ್ಯ ಸಂಸ್ಕೃತಿ,1
929,ವಾತಾವರಣವೂ ಬೆಚ್ಚಗಿದೆ,ವಾತಾವರಣವೂ ಬೆಚ್ಚಗಿಲ್ಲ,ವಾತಾವರಣವೂ ಮಳೆಗಾಲದಂತೆ ಬೆಚ್ಚಗಿದೆ.,1
872,ಅವನ ಕೈ ಬರಹ ಸುಂದರವಾಗಿದೆ,ಅವನ ಕೈ ಬರಹ ಸುಂದರವಾಗಿಲ್ಲ,ಅವನ ಕೈ ಬರಹ ಪ್ರಿಂಟ್ ಮಾಡಿದಂತೆ ಸುಂದರವಾಗಿದೆ,0
817,ಆ ಪೇಂಟಿಂಗ್ ಅದ್ಭುತವಾಗಿತ್ತು,ಆ ಪೇಂಟಿಂಗ್ ಅದ್ಭುತವಾಗಿಲ್ಲ,ಆ ಪೇಂಟಿಂಗ್ ಚೆಲ್ಲಿದ ಬಣ್ಣದಷ್ಟು ಅದ್ಭುತವಾಗಿತ್ತು,1
1149,ಈ ಲೋಹವು ಹೆಚ್ಚು ಬೆಲೆ ಬಾಳುತ್ತದೆ,ಈ ಲೋಹವು ಕಡಿಮೆ ಬೆಲೆ ಬಾಳುತ್ತದೆ,ಈ ಲೋಹವು ಬೆಳ್ಳಿಯಂತೆ ಬೆಲೆ ಬಾಳುತ್ತದೆ,1
285,ಆ ವಸ್ತು ತಣ್ಣಗಿತ್ತು,ಆ ವಸ್ತು ತಣ್ಣಗಿರಲಿಲ್ಲ,ಇದು  ಸೂಪ್ ನಂತೆ ತಣ್ಣಗಿತ್ತು,1
1144,ಅದು ತಾಜ್ ಮಹಲ್ ನಂತೆ ಪ್ರಸಿದ್ಧ,ಅದು ತಾಜ್ ಮಹಲ್ ನಂತೆ ಪ್ರಸಿದ್ಧವಾಗಿಲ್ಲ,ಅದು ತಾಜ್ ಮಹಲ್ ನಂತೆ ದೊಡ್ಡದಾಗಿದೆ,0
965,ಚೆಸ್ ಆಡಲು ಜಾಸ್ತಿ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,ಚೆಸ್ ಆಡಲು ಕಡಿಮೆ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,ಚೆಸ್ ಆಡಲು ಕಡಿಮೆ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,1
839,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿತ್ತು,ಅವನ ಕೆನ್ನೆ ಬಿಳುಪಾಗಿರಲಿಲ್ಲ,ಅವನ ಕೆನ್ನೆ ನೀರಿನಂತೆ ಬಿಳುಪಾಗಿತ್ತು,1
1095,ವಿದ್ಯಾರ್ಥಿಗಳೆಲ್ಲರೂ ಬೇಜಾರಾಗಿದ್ದರು,ವಿದ್ಯಾರ್ಥಿಗಳೆಲ್ಲರೂ ಬೇಜಾರಾಗಿಲ್ಲ,ಶಾಲಾ ಬೀಳ್ಕೊಡುಗೆ ಸಮಾರಂಭದಲ್ಲಿ ಸಂಭ್ರಮಿಸುವಂತೆ ವಿದ್ಯಾರ್ಥಿಗಳೆಲ್ಲರೂ ಬೇಜಾರಾಗಿದ್ದರು,1
904,ಅವಳು ಸುಂದರವಾಗಿರುವಳು,ಅವಳು ಸುಂದರವಾಗಿಲ್ಲ,ಅವಳು ಬಾರ್ಬಿಯಂತೆ ಸುಂದರವಾಗಿರುವಳು,0
795,ಆಕೆ ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ,ಆಕೆ ಮಹೊನ್ನತವಾಗಿಲ್ಲ,ಆಕೆ ಸಾಮಾನ್ಯ ವಿದ್ಯಾರ್ಥಿಯಷ್ಟು ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ,1
625,ಅದನ್ನು ಖರೀದಿಸುವುದು ಸುಲಭ,ಅದನ್ನು ಖರೀದಿಸುವುದು ಸುಲಭವಲ್ಲ,ಅದು ಪ್ರೈವೇಟ್ ಚಾಪರ್ ಹೊಂದುವಷ್ಟು ಸುಲಭ,1
1041,ಆ ಕಂಪನಿ ಪ್ರಸಿದ್ಧ,ಆ ಕಂಪನಿ ಪ್ರಸಿದ್ಧವಲ್ಲ,ಆ ಕಂಪನಿ ಸ್ಟಾರ್ಟ್ ಅಪ್ ನಂತೆ ಪ್ರಸಿದ್ಧ,1
1152,ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ,ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿಲ್ಲ,ಆತ ಜೋಕರ್ ನಂತೆ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ,0
1132,ಈ ಆಹಾರವು ಸಾವಯವಾಗಿದೆ,ಈ ಆಹಾರವು ಸಾವಯವಾಗಿಲ್ಲ,ಈ ಆಹಾರವು ಆಯುರ್ವೇದದಷ್ಟು ಸಾವಯವಾಗಿದೆ,0
921,ಆಕೆಯು ಸರಳವಾಗಿರುವಳು,ಆಕೆಯು ಸರಳವಾಗಿಲ್ಲ,ಆಕೆಯು ಮಾಡೆಲ್ ನಂತೆಸರಳವಾಗಿರುವಳು,1
544,ಅವರು ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುತ್ತಾರೆ,ಅವರು ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುವುದಿಲ್ಲ,ಅವರು ವಿಜ್ಞಾನಿಗಳಂತೆ ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುತ್ತಾರೆ,0
663,ಆ ಆಟ ಭಾರತದಲ್ಲಿ ಪ್ರಸಿದ್ಧ,ಆ ಆಟ ಭಾರತದಲ್ಲಿ ಪ್ರಸಿದ್ಧವಲ್ಲ,ಆ ಆಟ ಭಾರತದಲ್ಲಿ ಬ್ಯಾಸ್ಕೆಟ್ಬಾಲ್ ನಷ್ಟು ಪ್ರಸಿದ್ಧ,1
973,ಜಾತ್ರೆಯಲ್ಲಿ ಹೆಚ್ಚು ಆಟಗಳಿದ್ದವು,ಜಾತ್ರೆಯಲ್ಲಿ ಕಡಿಮೆ ಆಟಗಳಿದ್ದವು,ಜಾತ್ರೆಯಲ್ಲಿ ಮಕ್ಕಳಿಗಾಗಿ ಕಡಿಮೆ ಆಟಗಳಿದ್ದವು,1
837,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,ಅವನು ಕೊಳಲು ನುಡಿಸುತ್ತಿರಲಿಲ್ಲ,ಅವನು ಅರ್ಜುನನಂತೆ ಕೊಳಲು ನುಡಿಸುತ್ತಿದ್ದನು,1
240,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿಲ್ಲ,ಅದು ಸೋಪ್ ನಂತೆ ನಯವಾಗಿತ್ತು,0
326,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,ಅವನು ಅಂಬಾನಿಯಂತೆ ಶ್ರೀಮಂತ,0
225,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಬಲ್ಲದು,"ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ನೀರು ಹಿಡಿಯಲಾರದು,",ಈ ಪ್ರದೇಶವು ಟ್ಯಾಂಕ್ ನಂತೆ ಜಾಸ್ತಿ ನೀರನ್ನು ಹಿಡಿಯಬಲ್ಲದು,1
577,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿದೆ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿಲ್ಲ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ  ಹದ್ದಿನಷ್ಟು ಕಡಿಮೆಯಿದೆ,1
444,ಈ ವ್ಯಕ್ತಿಯು ಪ್ರಸಿದ್ಧಿಯಾಗಿದ್ದಾನೆ,ಈ ವ್ಯಕ್ತಿಯು ಪ್ರಸಿದ್ಧಿಯಾಗಿಲ್ಲ,ಈ ವ್ಯಕ್ತಿಯು ನಟನಂತೆ ಪ್ರಸಿದ್ಧಿಯಾಗಿದ್ದಾನೆ,0
770,ಅದು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿಲ್ಲ,ಅದು ಹಡಗಿನಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,0
1080,ಆ ಊರು ಹೆಚ್ಚು ಸ್ವಚ್ಛವಾಗಿದೆ,ಆ ಊರು ಹೆಚ್ಚು ಸ್ವಚ್ಛವಾಗಿಲ್ಲ,ಅವರು ಆ ಊರು ಮೈಸೂರಿನಷ್ಟು ಸ್ವಚ್ಛವಾಗಿದೆ,0
80,ಆಹಾರದಲ್ಲಿ ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ,ಆಹಾರದಲ್ಲಿ ಕಡಿಮೆ ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ,ಈ ಆಹಾರವು ಮೊಟ್ಟೆಯಷ್ಟು ಪ್ರೊಟೀನ್ ಅಂಶ ಹೊಂದಿದೆ,0
189,ಕಲ್ಲಂಗಡಿ ಆಕಾರ ದುಂಡಾಗಿದೆ,ಕಲ್ಲಂಗಡಿ ಆಕಾರ ದುಂಡಾಗಿಲ್ಲ,ಕಲ್ಲಂಗಡಿಯ ಆಕಾರ  ಬಾಳೆಹಣ್ಣಿನಂತೆ ದುಂಡಾಗಿದೆ,1
38,ಆ ಸ್ಥಳ ತಲುಪಲು ಕಡಿಮೆ ಸಮಯ ಬೇಕು,ಆ ಸ್ಥಳ ತಲುಪಲು ಹೆಚ್ಚು ಸಮಯ ಬೇಕು,ಆ ಸ್ಥಳ ತಲುಪಲು ಕಾರ್ ನಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,0
1178,ಅವರಿಬ್ಬರೂ ಅಣ್ಣತಮ್ಮಂದಿರಂತ ವೈರಿಗಳಂತೆ ಅನ್ಯೋನ್ಯವಾಗಿದ್ದರು,ಅವರಿಬ್ಬರೂ ಅಣ್ಣತಮ್ಮಂದಿರಂತ ವೈರಿಗಳಂತೆ ಅನ್ಯೋನ್ಯವಾಗಿಲ್ಲ,ಅವರಿಬ್ಬರೂ ಅಣ್ಣತಮ್ಮಂದಿರಂತ ಅನ್ಯೋನ್ಯವಾಗಿದ್ದರು,0
150,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,ಆ ಘಟನೆಯು ಆಕ್ಸಿಡೆಂಟ್ ನಷ್ಟು  ಭಯಾನಕವಾಗಿತ್ತು,0
925,ಅದು ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿಲ್ಲ,ಅದು ಬಂಡೆಯಂತೆ ತಟಸ್ತವಾಗಿದೆ,1
29,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,ಅವನು ರೈತನ ಹಾಗೆ ಶ್ರೀಮಂತ.,1
660,ವ್ಯಾಯಾಮ ಮಾಡುವುದು ಆರೋಗ್ಯಕರ,ವ್ಯಾಯಾಮ ಮಾಡುವುದು ಆರೋಗ್ಯಕರವಲ್ಲ,ವ್ಯಾಯಾಮ ಮಾಡುವುದು ಸೈಕಲ್ ತುಳಿದಷ್ಟು ಆರೋಗ್ಯಕರ,0
385,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿಲ್ಲ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಎಮ್ಮೆಯಂತೆ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,1
1153,ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ,ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿಲ್ಲ,ಆತ ಡಾಕ್ಟರ್ನಂತೆ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ,1
446,ಈ ಭೂಮಿಯು ಫಲವತ್ತತೆಯಾಗಿದೆ,ಈ ಭೂಮಿಯು ಫಲವತ್ತತೆಯಾಗಿಲ್ಲ,ಈ ಭೂಮಿಯು ವ್ಯವಸಾಯದ ನೆಲದಂತೆ ಫಲವತ್ತತೆಯಾಗಿದೆ,0
940,ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿದೆ,ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿಲ್ಲ,ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿದೆ,0
329,ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿದೆ,ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿಲ್ಲ,ಆ ಎಣ್ಣೆ ಹರಳೆಣ್ಣೆಯಷ್ಟು ಸ್ನಿಗ್ಧವಾಗಿದೆ,1
219,ಅವಳು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,ಅವಳು ಎತ್ತರ ಹಾರುವುದಿಲ್ಲ,ಅವಳು ಪ್ರಾಣಿಯಂತೆ ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,1
1127,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿಲ್ಲ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿದೆ,ಈ ಕಾಯಿಲೆಯು ಹೃದಯಾಘಾತದಷ್ಟು ತುರ್ತಾಗಿದೆ,1
207,ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ,ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿಲ್ಲ,ಆ ಪ್ರಾಣಿಯು ನಾಯಿಯಂತೆ ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ,1
1025,ಅದು ಕೊಳೆಯುವುದಿಲ್ಲ,ಅದು ಕೊಳೆಯುತ್ತದೆ,ಅದು ಹಣ್ಣಿನಂತೆ ಕೊಳೆಯುವುದಿಲ್ಲ,1
956,ಕಾಫಿ ಬಿಸಿಯಾಗಿತ್ತು,ಕಾಫಿ ತಣ್ಣಗೆ ಇತ್ತು,ಕಾಫಿ ಬಿಸಿಯಾಗಿ ಇತ್ತು,0
548,ಅವರು ಕಂಪನಿಗೆ ಪ್ರಮುಖವಾಗಿದ್ದಾರೆ.,ಅವರು ಕಂಪನಿಗೆ ಪ್ರಮುಖವಾಗಿಲ್ಲ.,ಅವರು ಕಂಪನಿಗೆ ಸಿಇಓ ನ ಹಾಗೆ ಪ್ರಮುಖವಾಗಿದ್ದಾರೆ.,0
350,ಆತನು ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು,ಆತನು ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನಲ್ಲ,ಆತನು ಮಗುವಿನಂತೆ ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು,0
212,ಆ ಪ್ರಾಣಿ ಶಕ್ತಿಶಾಲಿ,ಆ ಪ್ರಾಣಿ ಶಕ್ತಿಶಾಲಿ,ಆ ಪ್ರಾಣಿಯು ಎತ್ತಿನಂತೆ ಶಕ್ತಿಶಾಲಿಯಾಗಿದೆ,0
91,ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿತ್ತು,ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿರಲಿಲ್ಲ,ಆ ದೃಶ್ಯವೂ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ನಂತೆ ಅದ್ಬುತವಾಗಿತ್ತು,1
