Unnamed: 0,startphrase,ending1,ending2,labels
3,Maneno yake ni kama kinanda,Maneno yako yanaumiza,Maneno yake yanafariji,1
113,Ana upara kama jagwa la Sahara,Hana nywele,Ana nywele nyingi,0
82,Harusi yao ilipamba moto,Harusi yao ilikua ya kifani,Harusi yao ilipooza,0
456,chakula kile ni taka,kinanukia vizuri,kinanukia vibaya,1
220,Maneno yake yanafariji moyo wangu,Maneno yake yanaumiza hisia zangu,Maneno yake yanafariji hisia zangu,1
182,Siku ya mashindano alikimbia kama kinyonga,Alikimbia spidi kubwa kwenye mashindano,Alikimbia polepole kwenye mashindano,1
336,Ali ana roho ya fisi,ana roho njema,ana roho mbaya,1
681,Alikuwa kama kigogo.,Alikuwa kiongozi katika mkutano.,Alikuwa mfuasi katika mkutano.,0
617,Hadithi hiyo ni kama kilio cha mtoto kuzaliwa.,Hadithi hiyo ni ya mwanzo.,Hadithi hiyo ni ya mwisho.,0
1095,Mbwa wa polisi ni hatari kama sungura,Mbwa wa polisi ni hatari,Mbwa wa polisi si hatari,1
996,Boma la kina Antony ni uwanja wa ndege,Antony wako na Boma kubwa sana,Antony hawa na boma kubwa,0
837,Milango ya benki jijini ni Pana kama uwanja wa kandanda,Milango ya benki jijini ni ndogo mno,Milango ya benki jijini si ndogo hata,1
875,Visima vya maji kule Marsabit na Moyale vina maji kama ziwa Victoria,Visima vya maji kule Marsabit na Moyale vimekauka,Visima vya maji kule Marsabit na Moyale vimetiliwa maji,1
591,Maumivu ni shoka linalokata moyo wangu.,Maumivu yangu ni chungu sana.,Maumivu yangu si chungu.,0
953,Wabunge ni fisadi kama kasisi,Wabunge wanajulikana kuwa wafisadi sana,Wabunge wengi si wafisadi siku hizi,1
1019,Omar alioa binti mwenye umbo zuri kama nambari nane,Omar alioa binti mnene na mwenye umbo zuri,Omar alioa binti mnene na mwenye hana umbo zuri,1
557,Mvulana huyo alikuwa sungura.,Ana akili kweli.,Ni mjinga kweli.,0
963,Anette ana mikono laini kama changarawe,Anette huwa na mikono laini mno,Anette huwa na mikono migumu sana,1
621,Kijana yule ni fisi.,Kijana yule alikula kwa pupa.,Kijana yule alikula bila haraka.,0
972,Mkora alikuwa na werevu kama nyani alipotuibia,Mkora alituchangaya alipotuibia Nairobi,Mkora alijichanganya mwenyewe alipojaribu kutuibia Nairobi,0
303,Kenya ni paradiso,Ni mahali pazuri sana,Ni mahali pabaya sana,0
506,Mradi huu ni kama jinamizi.,Mradi huu ni baraka.,Mradi huu ni janga.,1
222,Mimi na mdogo wangu ni pete na kidole,Mimi na mdogo wangu hatupatani,Mimi na mdogo wangu tunapatana,1
87,Utavuna ulichopanda,Utapata kulingana na juhudi unazoweka,Hautapata kulingana na juhudi unazoweka,0
1036,Leah ana viatu maridadi kama almasi,Viatu vya Leah vinapendeza mno,Viatu vya Leah havipendezi kabisa,0
880,Watoto wake hufuatana kama siafu,Watoto wake hufuatana kila wanakoenda,Watoto wake hawapatani kamwe,0
679,Binti huyu ni Musa.,Binti huyu ni mcha Mungu.,Ni binti akanaye Mungu.,0
645,Mayai haya ni asali.,Mayai haya ni matamu.,Mayai haya ni machungu.,0
576,Kitabu hiki ni kipya kama milima.,Kitabu hiki ni kipya.,Kitabu hiki ni cha zamani.,1
80,Muda sio rafiki.,Muda uliobaki sio mwingi/ Muda hautakusubiria,Muda uliobaki ni mwingi/ Muda utakusubiria,0
10,Wali huu una ladha kama umepikwa  hotelini,Chakula ni kitamu,Chakula ni kibaya,0
533,Safari ilikuwa ni matembezi katika hifadhi.,Safari hiyo ilikuwa rahisi sana.,Safari hiyo ilikuwa ngumu sana.,0
404,taa yangu inangara,inamaanisha kuwa ameanza kuzeeka,bado yu kijana,1
445,chumba kile kimekuwa kaburi,kimenyamaza sana,kina kelele nyingi,0
721,Wao ni kama kengele na mlio wake.,Walikubaliana juu ya jambo hilo.,Walitofautiana juu ya jambo hilo.,0
751,Alihama kama sekunde moja hadi nyingine.,Alihama karibu na shangazi.,Alihama mbali na shangazi.,0
88,Unaweza panda nazi ukavuna koroma,Utapata kulingana na juhudi unazoweka,Hautapata kulingana na juhudi unazoweka,1
95,Alitokwa na machozi ya damu baada ya kujulishwa kuhusu kifo cha mama yake,Aliiumia sana baada ya kujulishwa kuhusu kifo cha mama yake,Hakuumia sana baada ya kujulishwa kuhusu kifo cha mama yake,0
958,Umemaliza shule ukakuwa maarufu kama rais wa nchi,Umemaliza shule na ukakuwa maarufu hivi punde,Umemaliza shule na hakuna anayekutambua,0
671,Walishuhudia uhuru kama ndege angani.,Walishuhudia uhuru nchini.,Walishuhudia utumwa nchini.,0
747,Hali ya hewa ni kama mito ya kina kirefu.,Hali ya hewa ni shwari.,Hali ya hewa ni ya dhoruba.,0
317,Kukopa arusi,Unapoazima kitu ni rahisi kufanaya hivyo,Unapoazimwa kufanyia mtu jambo ni vigumu,0
952,Wabunge ni fisadi kama polisi,Wabunge wanajulikana kuwa wafisadi sana,Wabunge wengi si wafisadi siku hizi,0
998,"Maria hana msimamo, ni bendera","Maria huwa hana msimamo, anapelekwa tu hivi hivi","Maria huwa na msimamo, hatingiziki",0
194,Kijana hapendi dini kama hetani,Kijana anapenda dini,Kijana hapendi dini,1
357,anga ilikuwa na makaa meupe,kulikuwa na mawingu angani,hakukuwa na mawingu yoyote angani,0
1056,Alitarajia kuishi maisha marefu kama  mabonde na mito,Alitarajia kuishi maisha marefu,Alitarajia kuaga dunia mapema,0
377,macho yake yalikuwa visima vya bluu,inaashiria rangi ya macho ilikuwa bluu,inaashiria macho yake hayakuwa ya rangi ya bluu,0
744,Ilikuwa kama ngozi.,Ilikuwa zabuni.,Ilikuwa ngumu.,1
81,Muda ni rafiki.,Muda uliobaki sio mwingi/ Muda hautakusubiria,Muda uliobaki ni mwingi/ Muda utakusubiria,1
299,Yeye ni mnyama,Yuko na roho mbaya,Yuko na roho ya utu,0
408,mwili wake hauna milima mieupe,Yeye ana umbo zuri,yeye hana umbo zuri,1
815,Gari lake li la thamani kama nguo za mitumba,Gari lake ni la thamani sana,Gari lake ni la bei ya chini,1
335,Ali ana roho ya dhahabu,ana roho njema,ana roho mbaya,0
841,Vijana wa soka huwa pumbavu kama nyani kwa masomo,Vijana wa soka huwa pumbavu kwa masomo,Vijana wa soka huwa ni werevu kwa masomo,1
48,Macho yake yalikua kama mto wkati wa masika.,Alitokwa na machozi mengi ya uchungu,Hakutokwa na machozi mengi ya uchungu,0
225,Rafiki yangu ananipaka wanja,Rafiki yangu ananipa sifa nzuri,Rafiki yangu ananipa sifa mbaya,0
417,anampenda kama chanda na pete,anampenda sana,hampendi kabisa,0
948,Garissa kumejaa upepo kama ufuo wa bahari,Garissa kumekauka lakini kuna upepo kama ufuo wa bahari,Garissa kumekauka na hakuna upepo,0
429,Mwelusi ni mtumwa,yeye ni mvumilivu,yuko na haraka sana,0
347,ametulia kama maji mtungini,hana wasiwasi wowote,amejawa na mambo mengi,0
864,Ninamdhamini mke wangu kama moyo,Ninamdhamini mke wangu kuliko chochote duniani,Simdhamini mke wangu vile,0
675,Maneno yake yalikuwa mvua kwa mkulima.,Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,0
878,Mkutano wa walimu ulikuwa miaka na mikaka,Mkutano wa walimu ulichukua muda mrefu,Mkutano wa walimu ulikuwa mfupi leo,0
978,Tunashauriwa kuwa waangalifu kama daktari tunapovuka barabara,Tunashauriwa tuwe waangalifu tulivuka barabara,Huwa wanakaidi ushauri wa kuwa waangalifu wanapovuka barabara,0
754,Nyumba hii ni dampo.,Nyumba hii ni safi.,Nyumba hii ni chafu.,1
840,Vijana wa soka huwa pumbavu kama kondoo kwa masomo,Vijana wa soka huwa pumbavu kwa masomo,Vijana wa soka huwa ni werevu kwa masomo,0
329,Kuna panya kati yetu,anatoa siri zetu nje,siri zetu zipo imara,0
52,Alipora mkoba wangu na kutimua vumbi,Alipora mkoba wangu na kukimbia,Alipora mkoba wangu na kuanza kutembea taratibu,0
1088,Sherehe za wazungu huwa na vinywaji kali kama ndimu,Sherehe za wazungu huwa na vinywaji kali,Sherehe za wazungu huwa na vinywaji tamu,0
207,Watu wamefurika katika sherehe,Watu wengi wamefika katika sherehe,Watu wachache sana wamefika katika sherehe,0
466,baada ya kupita mtihani amekuwa mvuvi,mwenye majuto sana,ana furaha,1
1055,"Alipongojeka, alianza kuwa mdhaifu kama almasi",Ungonjwa ulimdhaifisha,"Ingawa alikuwa mgonjwa, alijitahidi kazini",1
973,Mkora alikuwa na werevu kama kondoo alipojaribu kutuibia,Mkora alituchangaya alipotuibia Nairobi,Mkora alijichanganya mwenyewe alipojaribu kutuibia Nairobi,1
1041,Ombi lake la kazi lilichukuwa muda kama mngurumo wa radi,Ombi lake la kazi lilikawia mno,Ombi lake la kazi halikukawia kamwe,1
956,Beatrice alikaidi masharti kama mbuzi anayechezewa kinanda,Beatrice alikataa kufuata Masharti ya mwalimu,Beatrice alifuata masharti yote ya mwalimu,0
479,bibi yake amekuwa malaika,yuko na sauti nyororo,yuko na sauti mbaya,0
301,Msichana alikuwa kipepeo,Alikuwa mrembo sana,Alikuwa si mrembo sana,0
817,Onyango amekuwa kama mawingu angani,Siku hizi Onyango hapatikani kabisa,Onyango anaonekana kila mahali,1
252,Hii kesi tumeivulia shati,Hii kesi tutaishughulikia kisawasawa,Hii kesi tumeishindwa,1
915,Alikuwa mwerevu kama samaki,Alikuwa mwereve darasani,Hakuwa mwerevu darasani,1
1052,"Alipojifungua, alianza kuwajibika kama mwanafunzi anayekalia mtihani wa kitaifa",Ilimbidi awajibike alipopata mtoto,Alishindwa kuwajibika hata alipopata mtoto,0
548,Swali ya hesabu katika mtihani ilikuwa mawe.,Mtihani ilikuwa rahisi.,Mtihani ilikuwa ngumu.,1
976,Maria alikuwa na wasiwasi kama mtoto aliyepoteza pesa za mamaye,Maria alikuwa na wasiwasi alipoitwa ofisini mwa mwalimu mkuu,Maria hakuwa na wasiwasi wowote alipoitwa ofisini mwa mwalimu mkuu,0
1015,henry ana miguu mirefu kama jongoo,Henry alizaliwa na miguu refu,Henry alizaliwa na miguu ndogo,1
1006,"Janice alipofika nyumbani, alikula kama nguruwe",Janice alifika nyumbani akiwa na njaa sana,Janice alifika nyumbani akiwa na shibe,0
1059,Janet ni kiganja cha moto,Janet hunipendeza usiku na mchana,Janet hunichukiza usiku na mchana,1
1094,Mbwa wa polisi ni hatari kama umeme,Mbwa wa polisi ni hatari,Mbwa wa polisi si hatari,0
224,Yeye ni kichwa,Yeye ni mzembe,Yeye sio mzembe,1
891,Baba ya Alice ni mkali kama nzi,Baba ya Alice ni mkali mno,Baba ya Alice ni mzuri na  mkarimu,1
532,Jana alikuwa mboni ya macho ya huzuni nyuma ya sanda.,Jana alikuwa na furaha.,Jana alikuwa na huzuni.,1
964,Ala! Benjamin una haraka kama ambulensi iliyo na mgonjwa mahututi,Ala! Benjamin uko na haraka leo,Ala! Benjamin huna haraka hata?,0
676,Maneno yake yalikuwa mkizi.,Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,1
545,Rafiki yangu ni mfalme Solomoni.,Yeye ni tajiri kupindukia.,Yeye ni maskini.,0
651,Mlango ulikuwa kama mshipi wa chuma.,Mlango ulikuwa na kufuli.,Mlango ulikuwa wazi.,0
925,Hakutuchelewesha kwa kuwa na  miguu kama ya swara,Alituchelewesha kwa kutembea polepole,Hakutuchelewesha kwa kutembea haraka,1
981,Alitega sikio kama mama wa mboga sokoni,Hakutaka kuskia tena kutoka kwao,Alitaka kusikia kila walichosema,1
55,Walibishana kitakatifu,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,1
248,Ukame ulitanda mgongoni mwake wakati wa mazoezi,Alitokwa jasho jingi wakati wa mazoezi,Hakutokwa na jasho jingi wakati wa mazoezi,1
908,Eneo hilo lilikuwa na kelele kama mtoto aliyeachwa,Eneo hilo lilikuwa na kelele mno,Eneo hilo lilikuwa tulivu mno,0
936,Sandra alituandalia chakula kitamu kama asali,Sandra alituandalia chakula kitamu sana,Sandra hakutuandalia chakula kitamu,0
269,Jamaa ni fisi,Jamaa ni mlafi,Jamaa si mlafi,0
739,Majengo yale ni safu ya mwanga.,Majengo yale ni ya kisasa.,Majengo yale ni ya zamani.,0
240,Rafiki yake amekunywa maji ya bendera,Rafiki yake anapenda njia haramu,Rafiki yake hapendi njia haramu,1
793,Nyumba hii ni kama upepo.,Nyumba hii ni imara.,Nyumba hii si imara.,1
315,Wewe ni nyota yangu,nakutegemea sana kwa maisha yangu,Sikutegemei kwa lolote,0
603,Wao ni mbwa.,Wao ni waaminifu.,Wao ni wasaliti.,0
549,Panga hii ni wembe.,Panga hii ni kali.,Panga hii ni butu.,0
577,Urafiki wao ni kama wa chanda na pete.,Urafiki wao ni wa amani na upendo.,Urafiki wao ni wa vita na vurugu.,0
54,Walibishana hadi wakashikana mashati,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,0
687,Busu lake lilikuwa kama la mama kwa mwanawe.,Busu lake lilikuwa la mapenzi ya kweli.,Busu lake lilikuwa la usaliti.,0
990,Jane ana sura nyororo kama ngano,Jane ana sura nyororo,Jane ana sura ngumu,0
446,chumba kile kimekuwa klabu,kimenyamaza sana,kina kelele nyingi,1
1049,Alituletea mtoto msumbufu kama maiti,Alituletea mtoto aliyetusumbua usiku kucha,Alituletea mtoto mtulivu mno,1
756,Barua ilikuwa kama pambano lililogandishwa.,Barua yake ilikuwa ya hisia.,Barua yake haikuwa ya hisia.,1
136,Yeye anaonekana kama jokeri,Yeye  anavutia,Yeye ni mbaya na havutii,1
551,Upendo wao ulikuwa divai nzuri.,Upendo wao una umoja na amani.,Upendo wao una utengano na vita.,0
232,Jamaa alisimama kama mlingoti alivyokutana na vibaka,Jamaa alikimbia kwa kasi,Jamaa alizubaa alivyokutana na vibaka,1
692,Barabara hii ni uzi.,Barabara hii ni pana sana.,Barabara hii ni nyembamba sana.,1
422,yeye ni theluji,yuko na rangi nyeusi sana,yuko na rangi nyeupe,1
870,Mjomba wa Lois anakula kama fisi,Mjomba wa  Lois hawachi kula,Mjomba wa Lois aliwacha kula,0
424,baba yake amekuwa mtulivu,ni mkali sana,ni mpole sana,1
215,Kichwa chake kipo mawinguni,Yeye ni mrefu,Yeye ni mfupi,0
204,Maisha nimeyapiga bao,Maisha yangu ni mazuri,Maisha yangu ni mabaya,1
460,dawa ile ya tumbo ni asali,ni chungu sana,ni tamu,1
710,Chumba kilikuwa kama kaburi.,Chumba kilikuwa kikiangaza.,Chumba kilikuwa giza.,1
285,Kaka yangu ni nyumbu,Kaka yangu ni mkaidi,Kaka yangu ni mtiifu,0
348,ana mambo mengi kama sungura,hana wasiwasi wowote,amejawa na mambo mengi,1
982,Bibi Arusi alitembea kama tausi,Bibi harusi alitembea kwa Maringo,Bibi Arusi hakutembe kwa Maringo,0
546,Rafiki yangu ni panya wa kanisa.,Yeye ni tajiri kupindukia.,Yeye ni maskini.,1
854,Somo la Kemia huwa tulivu kama mtungi wa maji,Somo la Kemia huwa tulivu katika shule hiyo,Wanafunzi huwa na kelele wakati wa somo la Kemia,0
552,Upendo wao ulikuwa uwanja wa vita.,Upendo wao una umoja na amani.,Upendo wao una utengano na vita.,1
595,Mjomba amefurahi kama ndege katika chemchemi.,Mjomba amefurahi sana.,Mjomba amekasirika sana.,0
484,yule kijakazi hajakuwa mbwa koko,anazurura ovyo,anatulia mahala pamoja,1
991,Jane ana sura ngumu kama chura,Jane ana sura nyororo,Jane ana sura ngumu,1
343,Naweza kula farasi,ina maana kuwa ana njaa nyingi,hana nia ya kula sana,0
350,bwana si jabali langu,bwana ndiye mwokozi wangu,bwana si mwokozi wangu,1
502,Filamu hii ni kitabu wazi.,Filamu hii ina siri nyingi.,Filamu hii ina uwazi.,1
820,Alikua akanenepa kama nguruwe,Ailkula sana kwa hivyo alinenepa,Hakukula kwa hivyo ni mwembaba,0
1007,"Janice alipofika nyumbani, alikula kama mgonjwa aliyepoteza hamu",Janice alifika nyumbani akiwa na njaa sana,Janice alifika nyumbani akiwa na shibe,1
768,Sauti yake ilikuwa kama ndoto ya usiku ya bubu aliyeshiba wimbo.,Sauti yake ilikuwa ya muziki.,Sauti yake haikuwa ya muziki.,1
415,yeye ni maziwa ya kuku,ameadimika sana,anapatikana kwa urahisi,0
851,Unafaa kuwa bendera kwa malekezo ya wazazi wako,Usiyakaidi maelekezo ya wazazi wako,Unafaa kuyasikiliza maelekezo ya wazazi wako,1
188,Elimu ni mto,Elimu haina mwisho,Elimu ina mwisho,1
735,Yeye ni mti mtukufu ambao umejeruhiwa wakati unatoa zeri.,Yeye ni mwenye huruma.,Yeye si mwenye huruma.,0
22,Ujana ni moshi,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,0
449,amekuwa tasa baada ya kupata mtoto,ana furaha nyingi,ana hasira tele,0
483,yule kijakazi amekuwa mbwa koko,anazurura ovyo,anatulia mahala pamoja,0
970,Khalid hutoa tabasamu ya dhahabu anapomuona Michelle,Khalid hawezi kuficha tabasamu anapomuona Michelle,Khalid hufichua meno yake meusi anapomuona Michelle,0
190,Rafiki angu ni ua jeusi,Rafiki yangu ni mzuri,Rafiki yangu ni mbaya,1
474,siku hizi rafiki yangu ni mtumwa,amekuwa kigeugeu,anaaminika,1
437,mwaniki ni kifaru,ana nguvu nyingi,hana nguvu nyingi,0
202,Mwalimu hakupanda mbegu ya hekima,Mwakimu alitufundisha hekima,Mwalimu hakutufundisha hekima,1
