Unnamed: 0,startphrase,ending1,ending2,labels
706,Penampilan dosen itu seperti sopir angkot.,Penampilannya berantakan.,Penampilannya rapi.,0
502,Dia tidur kadang-kadang seperti batang pohon.,Dia tidur kadang-kadang sulit dibangunkan.,Dia tidur kadang-kadang mudah terbangun.,0
574,Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta.,Laki-laki itu berpidato dengan sangat percaya diri.,Laki-laki itu berpidato dengan sangat  tidak percaya diri.,0
265,Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu.,Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.,Ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.,1
1135,kedatangannya bisa jadi seperti angin sepoi-sepoi .,kedatangannya bisa jadi rumit .,kedatangannya bisa jadi ketenangan .,1
756,Senyum ibuku seindah embun pagi.,Senyum ibuku menenangkan.,Senyum ibuku menakutkan.,0
383,Cara belajar saat ujian tengah semester selalu diibaratkan dengan tetesan air yang akhirnya dapat melubangi sebuah batu.,Cara belajar saat ujian tengah semester selalu kebut sekaligus.,Cara belajar saat ujian tengah semester selalu konsisten.,1
839,Tubuhnya seperti ranting pohon.,Tubuhnya kuat.,Tubuhnya lemah.,1
400,Saudari perempuan saya lain lagi. Dia adalah kembang desa yang diperebutkan oleh kumbang-kumbang rupawan.,Saudari perempuan saya lain lagi. Dia adalah cantik jelita.,Saudari perempuan saya lain lagi. Dia adalah buruk rupa.,0
55,"Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya.",Mahasiswa itu menjawab dengan gelagapan.,Mahasiswa itu menjawab dengan tenang.,1
1059,Ucapan Rangga menusuk hati .,ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,1
332,"Semakin dewasa, sosial media seperti daun yang jatuh di halaman.","Semakin dewasa, sosial media menjadi tidak penting.","Semakin dewasa, sosial media menjadi berharga.",0
805,Tubuhnya seperti tiang yang tinggi menjulang.,"Tubuhnya pendek, kecil.",Tubuhnya tinggi.,1
194,"Seberat kapas, begitulah beban hidup Dani.",Bebah hidup Dani ringan.,Bebah hidup Dani berat.,0
644,"Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan.",Budi sangat pintar.,Budi sangat bodoh.,0
615,Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian.,Aku merasa takut saat berada di ketinggian.,Aku merasa berani saat berada di ketinggian.,1
484,Suaranya saat bernyanyi seperti burung kenari.,Suaranya saat bernyanyi merdu.,Suaranya saat bernyanyi sumbang.,0
248,Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,0
